"Mouse_ID","Year","FEC_Eim_Ct","MC.Eimeria.FEC","delta_ct_cewe_MminusE","MC.Eimeria","OPG","MCs"
"AA_0800",2019,"32.3297500579707",FALSE,-9.26666666666667,TRUE,NA,"Fec:FALSE Tissue:TRUE"
"AA_0801",2019,"29.322416721328",FALSE,-8.79833333333333,FALSE,NA,"Fec:FALSE Tissue:FALSE"
"AA_0802",2019,"29.6809962276748",FALSE,-8.84666666666667,FALSE,NA,"Fec:FALSE Tissue:FALSE"
"AA_0803",2019,"28.639308032573",FALSE,-8.69,TRUE,NA,"Fec:FALSE Tissue:TRUE"
"AA_0804",2019,"22.3666078583883",FALSE,-1.7975,TRUE,NA,"Fec:FALSE Tissue:TRUE"
"AA_0806",2019,"33.1796002681988",FALSE,-7.21,TRUE,NA,"Fec:FALSE Tissue:TRUE"
"AA_0807",2019,"34.5654369628655",FALSE,-11.7666666666667,FALSE,NA,"Fec:FALSE Tissue:FALSE"
"AA_0808",2019,"29.9088179011472",FALSE,-8.62333333333333,FALSE,NA,"Fec:FALSE Tissue:FALSE"
"AA_0809",2019,"33.4100052666375",FALSE,-10.94,FALSE,NA,"Fec:FALSE Tissue:FALSE"
"AA_0810",2019,"33.4020991407072",FALSE,-9.95333333333333,FALSE,NA,"Fec:FALSE Tissue:FALSE"
"AA_0812",2019,"31.5055775640182",FALSE,-9.67666666666667,TRUE,NA,"Fec:FALSE Tissue:TRUE"
"AA_0813",2019,"27.1663451774788",FALSE,-2.01,TRUE,NA,"Fec:FALSE Tissue:TRUE"
"AA_0814",2019,"27.57534",FALSE,-9.02666666666667,FALSE,NA,"Fec:FALSE Tissue:FALSE"
"AA_0815",2019,"33.3768888587303",FALSE,-8.16666666666666,FALSE,NA,"Fec:FALSE Tissue:FALSE"
"AA_0816",2019,"30.8766891936818",FALSE,-9.31666666666667,FALSE,NA,"Fec:FALSE Tissue:FALSE"
"AA_0817",2019,"21.3250151267782",FALSE,1.86666666666667,TRUE,NA,"Fec:FALSE Tissue:TRUE"
"AA_0818",2019,"31.8306017056098",FALSE,-8.85666666666667,FALSE,NA,"Fec:FALSE Tissue:FALSE"
"AA_0819",2019,"31.5481117680095",FALSE,-9.05666666666667,TRUE,NA,"Fec:FALSE Tissue:TRUE"
"AA_0820",2019,"29.753069818908",FALSE,-5.48333333333333,TRUE,NA,"Fec:FALSE Tissue:TRUE"
"AA_0821",2019,"30.6575657490025",FALSE,-4.91666666666667,TRUE,NA,"Fec:FALSE Tissue:TRUE"
"AA_0822",2019,"29.3794891450755",FALSE,-7.61,FALSE,NA,"Fec:FALSE Tissue:FALSE"
"AA_0823",2019,"19.2769904454413",FALSE,NA,NA,NA,"Fec:FALSE Tissue:NA"
"AA_0824",2019,"32.7826488547338",FALSE,-9.105,TRUE,NA,"Fec:FALSE Tissue:TRUE"
"AA_0825",2019,"31.0826786433771",FALSE,-11.2116666666667,FALSE,NA,"Fec:FALSE Tissue:FALSE"
"AA_0826",2019,"32.1938637756757",FALSE,-9.02,TRUE,NA,"Fec:FALSE Tissue:TRUE"
"AA_0827",2019,"29.3898194326195",FALSE,-10.18,TRUE,NA,"Fec:FALSE Tissue:TRUE"
"AA_0828",2019,"24.306211552631",FALSE,-9.47666666666667,TRUE,NA,"Fec:FALSE Tissue:TRUE"
"AA_0829",2019,"28.8453382266782",FALSE,-5.67666666666667,TRUE,NA,"Fec:FALSE Tissue:TRUE"
"AA_0831",2019,"30.0348427834859",FALSE,-7.59666666666666,TRUE,NA,"Fec:FALSE Tissue:TRUE"
"AA_0832",2019,"33.0020251340604",FALSE,-7.54,FALSE,NA,"Fec:FALSE Tissue:FALSE"
"AA_0834",2019,"28.8805456702939",FALSE,NA,NA,NA,"Fec:FALSE Tissue:NA"
"AA_0835",2019,"19.7417228071963",FALSE,-11.7733333333333,FALSE,NA,"Fec:FALSE Tissue:FALSE"
"AA_0836",2019,"30.7957875876353",FALSE,-11.9266666666667,FALSE,NA,"Fec:FALSE Tissue:FALSE"
"AA_0837",2019,"29.4593017857183",FALSE,-8.26666666666667,FALSE,NA,"Fec:FALSE Tissue:FALSE"
"AA_0838",2019,"31.2666179291888",FALSE,-6.90333333333334,TRUE,NA,"Fec:FALSE Tissue:TRUE"
"AA_0839",2019,"26.6897722483412",FALSE,-8.08666666666667,TRUE,NA,"Fec:FALSE Tissue:TRUE"
"AA_0840",2019,"31.7771165023507",FALSE,-8.57,FALSE,NA,"Fec:FALSE Tissue:FALSE"
"AA_0842",2019,"33.1758221056393",FALSE,-11.4383333333333,FALSE,NA,"Fec:FALSE Tissue:FALSE"
"AA_0843",2019,"29.330426751917",FALSE,NA,NA,NA,"Fec:FALSE Tissue:NA"
"AA_0844",2019,"32.5015124055251",FALSE,NA,NA,NA,"Fec:FALSE Tissue:NA"
"AA_0845",2019,"30.3103050801738",FALSE,NA,NA,NA,"Fec:FALSE Tissue:NA"
"AA_0846",2019,"28.041859537104",FALSE,-8.35666666666667,FALSE,NA,"Fec:FALSE Tissue:FALSE"
"AA_0847",2019,"32.2234022081692",FALSE,-8.79333333333333,FALSE,NA,"Fec:FALSE Tissue:FALSE"
"AA_0848",2019,"32.8941323254823",FALSE,NA,NA,NA,"Fec:FALSE Tissue:NA"
"AA_0849",2019,"29.3175068992771",FALSE,NA,NA,NA,"Fec:FALSE Tissue:NA"
"AA_0850",2019,"33.3705939833394",FALSE,-10.0066666666667,TRUE,NA,"Fec:FALSE Tissue:TRUE"
"AA_0852",2019,"31.679859924291",FALSE,-10.9466666666667,FALSE,NA,"Fec:FALSE Tissue:FALSE"
"AA_0854",2019,"27.4113192633568",FALSE,-11.0366666666667,FALSE,NA,"Fec:FALSE Tissue:FALSE"
"AA_0855",2019,"29.9706337100989",FALSE,-9.21666666666667,FALSE,NA,"Fec:FALSE Tissue:FALSE"
"AA_0856",2018,"35.9499810287923",FALSE,-9.29,FALSE,NA,"Fec:FALSE Tissue:FALSE"
"AA_0857",2019,"35.4404996280797",FALSE,NA,NA,NA,"Fec:FALSE Tissue:NA"
"AA_0858",2021,"36.3429583250301",FALSE,NA,NA,NA,"Fec:FALSE Tissue:NA"
"AA_0860",2021,"31.3765501788226",FALSE,NA,FALSE,NA,"Fec:FALSE Tissue:FALSE"
"AA_0861",NA,NA,NA,NA,FALSE,NA,"Fec:NA Tissue:FALSE"
"AA_0862",NA,NA,NA,NA,FALSE,NA,"Fec:NA Tissue:FALSE"
"AA_0863",2021,"25.7290748890211",FALSE,NA,FALSE,23437.5,"Fec:FALSE Tissue:FALSE"
"AA_0864",2021,"17.9501223118774",FALSE,NA,NA,0,"Fec:FALSE Tissue:NA"
"AA_0865",2021,"32.1927959651528",FALSE,NA,FALSE,446.428571428571,"Fec:FALSE Tissue:FALSE"
"AA_0866",2021,"31.2665302463955",FALSE,NA,FALSE,1358.69565217391,"Fec:FALSE Tissue:FALSE"
"AA_0867",2021,"31.7328520565789",FALSE,NA,FALSE,0,"Fec:FALSE Tissue:FALSE"
"AA_0868",2021,"33.1429473412554",FALSE,NA,NA,868.055555555556,"Fec:FALSE Tissue:NA"
"AA_0869",NA,NA,NA,NA,FALSE,NA,"Fec:NA Tissue:FALSE"
"AA_0870",2021,"30.008350148232",FALSE,NA,NA,0,"Fec:FALSE Tissue:NA"
"AA_0871",2021,"24.3839664925284",FALSE,NA,FALSE,0,"Fec:FALSE Tissue:FALSE"
"AA_0872",2021,"27.6258680621635",FALSE,NA,FALSE,538.793103448276,"Fec:FALSE Tissue:FALSE"
"AA_0873",2021,"32.0408902311656",FALSE,NA,FALSE,0,"Fec:FALSE Tissue:FALSE"
"AA_0874",2021,"31.1606661020592",FALSE,NA,NA,NA,"Fec:FALSE Tissue:NA"
"AA_0875",2021,"19.2342584638977",FALSE,NA,FALSE,2232.14285714286,"Fec:FALSE Tissue:FALSE"
"AA_0876",2021,"23.5154117606597",FALSE,NA,FALSE,NA,"Fec:FALSE Tissue:FALSE"
"AA_0877",2021,"33.0503943812044",FALSE,NA,NA,NA,"Fec:FALSE Tissue:NA"
"AA_0878",2021,"32.5089209393528",FALSE,NA,FALSE,0,"Fec:FALSE Tissue:FALSE"
"AA_0879",NA,NA,NA,NA,FALSE,NA,"Fec:NA Tissue:FALSE"
"AA_0880",2021,"22.5389587138383",FALSE,NA,FALSE,8593.75,"Fec:FALSE Tissue:FALSE"
"AA_0881",2021,"20.0271853352343",FALSE,NA,FALSE,NA,"Fec:FALSE Tissue:FALSE"
"AA_0882",NA,NA,NA,NA,FALSE,NA,"Fec:NA Tissue:FALSE"
"AA_0883",2021,"17.590665509672",FALSE,NA,FALSE,0,"Fec:FALSE Tissue:FALSE"
"AA_0884",NA,NA,NA,NA,FALSE,NA,"Fec:NA Tissue:FALSE"
"AA_0885",2021,"18.3664939895717",FALSE,NA,FALSE,4464.28571428571,"Fec:FALSE Tissue:FALSE"
"AA_0886",NA,NA,NA,NA,FALSE,NA,"Fec:NA Tissue:FALSE"
"AA_0887",2021,"22.1428291409647",FALSE,NA,FALSE,0,"Fec:FALSE Tissue:FALSE"
"AA_0888",NA,NA,NA,NA,FALSE,NA,"Fec:NA Tissue:FALSE"
"AA_0889",2021,"19.2109211283961",FALSE,NA,FALSE,0,"Fec:FALSE Tissue:FALSE"
"AA_0890",2021,"31.5605465122397",FALSE,NA,FALSE,0,"Fec:FALSE Tissue:FALSE"
"AA_0891",2021,"29.5463120770252",FALSE,NA,FALSE,0,"Fec:FALSE Tissue:FALSE"
"AA_0892",2021,"28.6811513651305",FALSE,NA,FALSE,0,"Fec:FALSE Tissue:FALSE"
"AA_0893",2021,"27.3714317360959",FALSE,NA,NA,0,"Fec:FALSE Tissue:NA"
"AA_0894",2021,"18.6517826087093",FALSE,NA,NA,0,"Fec:FALSE Tissue:NA"
"AA_0895",2021,"23.8898854648833",FALSE,NA,FALSE,0,"Fec:FALSE Tissue:FALSE"
"AA_0896",2021,"18.321288362632",FALSE,NA,FALSE,NA,"Fec:FALSE Tissue:FALSE"
"AA_0897",2021,"22.8997059431506",FALSE,NA,FALSE,781.25,"Fec:FALSE Tissue:FALSE"
"AA_0898",2021,"32.9505927567567",FALSE,NA,FALSE,0,"Fec:FALSE Tissue:FALSE"
"AA_0899",2021,"32.5336278589431",FALSE,NA,FALSE,976.5625,"Fec:FALSE Tissue:FALSE"
"AA_0900",NA,NA,NA,NA,FALSE,NA,"Fec:NA Tissue:FALSE"
"AA_0901",NA,NA,NA,NA,FALSE,NA,"Fec:NA Tissue:FALSE"
"AA_0902",2021,"22.4665709826064",FALSE,NA,FALSE,15625,"Fec:FALSE Tissue:FALSE"
"AA_0903",NA,NA,NA,NA,FALSE,NA,"Fec:NA Tissue:FALSE"
"AA_0904",2021,"31.1657420542313",FALSE,NA,NA,822.368421052632,"Fec:FALSE Tissue:NA"
"AA_0905",2021,"34.1741635916859",FALSE,NA,NA,0,"Fec:FALSE Tissue:NA"
"AA_0906",2021,"31.2202196456774",FALSE,NA,FALSE,0,"Fec:FALSE Tissue:FALSE"
"AA_0907",2021,"32.798769158256",FALSE,NA,FALSE,0,"Fec:FALSE Tissue:FALSE"
